id_bien;id_codedep_codecommune;numero_voie;btq;type_voie;nom_voie;surface_carrez;type_local;surface_local;total_piece
1;01103;347;;RUE;DU CHATEAU;48,22;Appartement;48;3
2;06004;4;;BD;EDOUARD BAUDOIN;39,11;Appartement;40;1
3;06088;20;B;RUE;MARCEAU;80,25;Appartement;82;3
4;06123;550;;RTE;DES VESPINS RN7;27,51;Appartement;27;1
5;13005;9300;;RES;LES ARPEGES BD DES ABA;47,33;Appartement;47;2
6;13028;27;;RUE;DU GRAND MADIER;25,31;Appartement;24;1
7;13208;360;;AV;DU PRADO;70,84;Appartement;70;3
8;13212;5076;F;PARC;DESSUARD;67,19;Appartement;66;3
9;14338;1194;;RUE;DE NORMANDIE;18,89;Appartement;19;1
10;14366;30;;ALL;DES NOISETIERS;105,37;Maison;99;4
11;17300;11;;RUE;ROUGET DE L ISLE;31,99;Appartement;34;2
12;25056;13;;RUE;BERTHE MORISOT;96,21;Maison;100;5
13;29232;1;;RUE;DU POHER;30,86;Appartement;31;1
14;29260;2;;RUE;DES JARDINS;66,21;Appartement;67;3
15;31555;5;;AV;DU COMMANDANT TAILLANDIER;45,58;Appartement;46;2
16;33063;15;;RUE;PAUL DENUCE;23,20;Appartement;27;1
17;33063;176;;RUE;SAINTE CATHERINE;13,10;Appartement;12;1
18;33097;822;G;;LA BAYNASSE SUD;29,00;Appartement;29;2
19;33449;9;;RUE;DE BELFORT;51,40;Appartement;51;2
20;34145;183;;RUE;MARC ANTOINE MENARD;16,79;Appartement;18;1
21;34150;50;;AV;ANDRE CHASSEFIERE;51,40;Appartement;51;2
22;34199;8;;PL;DES ETATS DU LANGUEDOC;68,22;Appartement;85;3
23;37156;7;;RUE;JEAN-JACQUES ROUSSEAU;88,45;Maison;89;4
24;37261;197;;AV;DE GRAMMONT;42,94;Appartement;46;2
25;38185;48;;BD;MAL FOCH;76,48;Appartement;77;4
26;40266;210;;RTE;DU TAILLEUR;48,23;Maison;53;3
27;40328;199;;RES;MER ET GOLF-LE BOUCANIER;49,91;Appartement;48;2
28;44143;3;;ALL;JEAN PERRIN;46,30;Appartement;45;2
29;44184;12;;RUE;FERDINAND BUISSON;47,24;Appartement;48;2
30;51230;35;;AV;DE CHAMPAGNE;81,09;Appartement;79;4
31;54395;26;;RUE;MESSIER;39,69;Appartement;39;2
32;56161;5794;;;GOLF SAINT LAURENT;43,85;Appartement;44;3
33;58194;5;;RUE;DE PRUNEVEAUX;108,78;Appartement;124;4
34;59512;118;;BD;DU GENERAL DE GAULLE;89,84;Appartement;71;3
35;60057;247;;RUE;DE NOTRE DAME DU THIL;48,35;Appartement;48;2
36;60155;34;;RUE;DE LA VILLE;19,11;Appartement;18;1
37;60159;15;;SQ;JEAN BAPTISTE CLEMENT;97,39;Appartement;97;5
38;60524;84;;AV;JEAN JAURES;31,73;Appartement;32;1
39;69149;54;;RUE;DE LA BUSSIERE;49,89;Appartement;51;2
40;69384;15;;RUE;ARTAUD;20,02;Appartement;20;1
41;74119;1;;AV;D ABONDANCE;34,86;Appartement;33;2
42;74236;950;;AV;DU MONT D ARBOIS;39,05;Appartement;39;2
43;74238;110;;RTE;DE LA TELECABINE;18,93;Appartement;20;1
44;74278;2308;;AV;DES VALLEES;88,59;Appartement;88;4
45;75105;22;;BD;SAINT MARCEL;30,05;Appartement;41;2
46;75110;45;;BD;DE MAGENTA;32,30;Appartement;32;2
47;75111;14;;AV;DE LA REPUBLIQUE;120,28;Appartement;120;4
48;75111;160;;RUE;SAINT MAUR;17,94;Appartement;28;2
49;75111;11;;RUE;DU MOULIN JOLY;28,39;Appartement;28;2
50;75112;36;;RUE;ERARD;18,00;Appartement;41;2
51;75112;220;;RUE;DE CHARENTON;51,44;Appartement;51;3
52;75112;17;;RUE;D AUSTERLITZ;10,06;Appartement;10;1
53;75115;60;A;RUE;EMERIAU;88,30;Appartement;88;4
54;75118;4;;RUE;SQUARE CARPEAUX;23,98;Appartement;18;1
55;75118;36;;AV;DE CLICHY;53,59;Appartement;39;2
56;75118;68;;RUE;MARCADET;24,30;Appartement;25;2
57;76217;16;;AV;ALEXANDRE ANQUETIN;61,52;Appartement;59;4
58;76451;5;;PARC;DE LA BRESLE;57,27;Appartement;58;3
59;76655;4;;RUE;FRANCOIS LAPERT;23,98;Appartement;25;1
60;77118;5;B;RUE;DE LA SOLIDARITE;35,32;Appartement;40;2
61;78350;4;;ALL;HELENE LAZAREFF;89,41;Appartement;89;4
62;78423;1;;AV;DE DENTON;106,19;Appartement;107;5
63;78545;15;;RUE;ROBERT DESNOS;67,76;Appartement;70;4
64;78545;1;;RUE;MAL DE LATTRE DE TASSIGNY;40,55;Appartement;40;2
65;78551;53;;RUE;DE MAREIL;84,31;Appartement;142;5
66;78586;1;;RUE;MAETERLINCK;74,00;Appartement;74;3
67;78640;2;;RUE;DIVISION LECLERC;49,16;Appartement;48;2
68;83062;;;;LES SAVELS;50,74;Appartement;50;2
69;83069;31;;AV;DE LA SABLIERE CAPTE;20,15;Appartement;20;1
70;83112;9100;;RES;LE GRAND SOLEIL;47,52;Appartement;38;2
71;83123;8;;ALL;DES PAQUERETTES;86,92;Maison;91;5
72;84007;43;;RUE;CAMPANE;37,24;Appartement;40;2
73;85047;78;;RUE;CARNOT;43,12;Appartement;45;2
74;86062;20;B;ALL;DU HAUT POITOU;30,42;Appartement;30;1
75;86194;9007;;RUE;DES DOUVES;71,03;Appartement;75;4
76;87075;14;;RUE;DU CLUZEAU;62,95;Appartement;62;2
77;87085;8;;RUE;GEORGES BELJEAN;43,54;Appartement;43;2
78;91249;2;;RUE;D ADELAIAU;128,34;Appartement;128;5
79;91689;6;;RUE;DE LA DIVISION LECLERC;43,42;Appartement;43;2
80;92025;79;;RUE;DE VARSOVIE;49,45;Appartement;55;3
81;92026;5;;BD;GEORGES CLEMENCEAU;62,10;Appartement;65;3
82;92036;32;;RUE;GEORGES THORETTON;59,35;Appartement;59;3
83;92044;74;;RUE;JULES GUESDE;52,85;Appartement;55;2
84;93032;35;;AV;SAINTE FOY;106,31;Maison;90;4
85;93051;4;;ALL;JOSEPHINE;77,93;Appartement;77;4
86;93057;129;;ALL;JULES AUFFRET;46,00;Appartement;46;2
87;93071;1;;PL;GASTON BUSSIERE;24,63;Appartement;24;2
88;94044;21;;RUE;CLAUDE BERNARD;67,10;Appartement;67;3
89;94060;18;;RUE;DE PROVENCE;80,00;Maison;66;4
90;94060;4;;RUE;DU CLOS SAINT NICOLAS;48,02;Appartement;49;2
91;94080;7;;RUE;DE L EGALITE;16,37;Appartement;17;1
92;95252;16;;RUE;DE LA FOSSE AUX BICHES;72,53;Appartement;69;4
93;95388;57;;ALL;DU VEXIN;90,07;Maison;93;5
94;95607;9004;;RES;LES LIGNIERES;57,10;Appartement;56;3
95;01262;9;;RUE;NEUVE;41,82;Appartement;47;1
96;02408;27;;RUE;FERNAND THUILLART;165,11;Appartement;156;6
97;03190;2;;RUE;DENAIN;124,01;Appartement;77;3
98;04073;7052;;RES;LES CHENEVRIERS;24,32;Appartement;25;1
99;04166;7102;;PL;DE L ENGIEN;106,43;Appartement;133;4
100;04209;9002;;PL;DU DOCTEUR ROBERT;32,89;Appartement;33;1
101;06004;15;;AV;NIQUET;37,66;Appartement;41;2
102;06027;7;;CHE;DE SAINT LAURENT;58,42;Appartement;58;3
103;06088;8;;RUE;ROSSINI;99,04;Appartement;98;4
104;06088;27;;RUE;LAMARTINE;30,20;Appartement;95;3
105;06088;4;;AV;VALROSE;68,75;Appartement;68;3
106;06159;15;B;AV;VICTOR CAUVIN;56,05;Appartement;58;2
107;10323;5;;IMP;DU CHANT DE L ALOUETTE;55,50;Appartement;52;3
108;13119;5279;F;RUE;DU 14 JUILLET;53,09;Appartement;51;3
109;13201;55;;RUE;FRANCIS DAVSO;48,24;Appartement;50;2
110;13204;9;;RUE;BOSCARY;28,40;Appartement;30;1
111;13206;9;;RUE;CRUDERE;51,01;Appartement;51;3
112;13209;13;;BD;GUSTAVE GANAY;51,54;Appartement;52;3
113;14118;4;;RUE;AUX NAMPS;34,83;Appartement;59;2
114;14333;1;;RUE;PESTEL;12,44;Appartement;13;1
115;14715;1;;AV;P CASSAGNAVERE;53,76;Appartement;53;2
116;14754;1;;RUE;CHARLES KOECHLIN;52,82;Maison;32;2
117;17300;66;;AV;DENFERT ROCHEREAU;32,18;Appartement;33;1
118;17414;6;;RUE;DES MENDRIES;49,90;Maison;50;3
119;22113;5;;RES;DE LA HAUTE RIVE;68,30;Appartement;67;4
120;22168;33;;RUE;ANATOLE LE BRAZ;54,42;Appartement;57;2
121;22278;16;H;BD;DE L ATLANTIQUE;64,00;Appartement;64;4
122;24322;19;;AV;DAUMESNIL;31,05;Appartement;33;1
123;25527;850;;CHE;DES GOUILLOTTES;127,96;Appartement;147;5
